UniProt_Accession_for_Protein_Group	UniProt_ID_for_Protein_Group	UniProt_Protein_Description	Quantified_Peptides_Experiment_1	Quantified_Peptides_Experiment_1.1	Quantified_PSMs_(Rep_1)_Experiment_1	Quantified_PSMs_(Rep_1)_Experiment_1.1	126	127N	127C	128N	128C	129N	129C	130N	130C	131	126.1	127N.1	127C.1	128N.1	128C.1	129N.1	129C.1	130N.1	130C.1	131.1	phenoDisco_Input	phenoDisco_Output	Curated_phenoDisco_Output	SVM_marker_set	SVM_classification	SVM_score	SVM_classification_(top_quartile)	Final_Localization_Assignment	First_localization_evidence?	Curated_Organelles	Cytoskeletal_Components	Trafficking_Proteins	Protein_Complexes	Signaling_Cascades	Oct4_Interactome	Nanog_Interactome	Sox2_Interactome	Cell_Surface_Proteins	uniprot_id	isoforms	max_fraction	min_difference	mean_expression	length	classified	low_fraction	AS	temp_binary
P0C0S6	H2AZ_MOUSE	Histone H2A.Z OS=Mus musculus GN=H2afz PE=1 SV=2 - [H2AZ_MOUSE]	4	3	24	20	0.018	0.0	0.0	0.0	0.007	0.027	0.112	0.323	0.228	0.284	0.032	0.006	0.007	0.004	0.012	0.029	0.104	0.214	0.508	0.085	unknown	Phenotype 1	Nucleus - Chromatin	Nucleus - Chromatin	Nucleus - Chromatin	1.0	Nucleus - Chromatin	Nucleus - Chromatin	N										P0C0S6	1	1.0		1075.4481628	128	True	False	False	False
P52480	KPYM_MOUSE	Pyruvate kinase isozymes M1/M2 OS=Mus musculus GN=Pkm PE=1 SV=4 - [KPYM_MOUSE]	4	4	17	23	0.4	0.193	0.163	0.06	0.072	0.038	0.017	0.027	0.006	0.023	0.448	0.08	0.126	0.096	0.082	0.06	0.028	0.028	0.014	0.039	unknown	Phenotype 5	unknown	unknown	Cytosol	0.879	Cytosol	Cytosol	N										P52480	2	0.951623210287	0.0508360758645	631.583181397	531	True	False	False	False
P28667	MRP_MOUSE	MARCKS-related protein OS=Mus musculus GN=Marcksl1 PE=1 SV=2 - [MRP_MOUSE]	4	5	16	31	0.033	0.361	0.224	0.112	0.134	0.079	0.029	0.019	0.005	0.004	0.032	0.225	0.2	0.165	0.169	0.12	0.054	0.021	0.007	0.007	unknown	Phenotype 9	unknown	unknown	Plasma membrane	0.735	unclassified	Plasma membrane	N										P28667	1	1.0		105.675184784	200	True	False	False	False
P43277	H13_MOUSE	Histone H1.3 OS=Mus musculus GN=Hist1h1d PE=1 SV=2 - [H13_MOUSE]	4	3	13	12	0.019	0.0	0.003	0.0	0.006	0.028	0.142	0.272	0.271	0.258	0.039	0.005	0.01	0.01	0.013	0.043	0.098	0.168	0.505	0.108	unknown	Phenotype 1	Nucleus - Chromatin	Nucleus - Chromatin	Nucleus - Chromatin	1.0	Nucleus - Chromatin	Nucleus - Chromatin	N									Non-Specific	P43277	1	1.0		149.92624538	221	True	False	False	False
Q9CY50	SSRA_MOUSE	Translocon-associated protein subunit alpha OS=Mus musculus GN=Ssr1 PE=1 SV=1 - [SSRA_MOUSE]	4	4	13	14	0.0	0.049	0.073	0.046	0.098	0.243	0.165	0.155	0.038	0.134	0.001	0.045	0.075	0.104	0.144	0.287	0.16	0.097	0.059	0.027	unknown	Endoplasmic reticulum/Golgi apparatus	unknown	unknown	Endoplasmic reticulum/Golgi apparatus	0.936	Endoplasmic reticulum/Golgi apparatus	Endoplasmic reticulum/Golgi apparatus	N										Q9CY50	1	1.0		28.3596195065	286	True	False	False	False
Q9JHS3	LTOR2_MOUSE	Ragulator complex protein LAMTOR2 OS=Mus musculus GN=Lamtor2 PE=1 SV=1 - [LTOR2_MOUSE]	4	5	13	8	0.008	0.131	0.245	0.154	0.284	0.1	0.032	0.02	0.005	0.02	0.012	0.086	0.153	0.227	0.246	0.169	0.055	0.028	0.011	0.013	unknown	Plasma membrane	unknown	unknown	Lysosome	0.588	unclassified	unclassified	N				LAMTOR proteins					Non-Specific	Q9JHS3	1	1.0		64.308797265	125	False	False	False	False
P18608	HMGN1_MOUSE	Non-histone chromosomal protein HMG-14 OS=Mus musculus GN=Hmgn1 PE=1 SV=2 - [HMGN1_MOUSE]	4	3	12	7	0.036	0.008	0.011	0.004	0.01	0.032	0.134	0.219	0.305	0.24	0.069	0.013	0.024	0.014	0.021	0.037	0.083	0.149	0.509	0.081	unknown	Phenotype 1	unknown	unknown	Nucleus - Chromatin	0.836	unclassified	Nucleus - Chromatin	N										P18608	1	1.0		338.942553915	96	True	False	False	False
P84089	ERH_MOUSE	Enhancer of rudimentary homolog OS=Mus musculus GN=Erh PE=1 SV=1 - [ERH_MOUSE]	4	5	12	14	0.331	0.009	0.026	0.004	0.011	0.015	0.029	0.052	0.397	0.127	0.288	0.01	0.029	0.013	0.018	0.016	0.022	0.019	0.319	0.267	unknown	unknown	unknown	unknown	Nucleus - Non-chromatin	0.87	Nucleus - Non-chromatin	Nucleus - Non-chromatin	Y										P84089	1	1.0		279.851272435	104	True	False	False	False
P27661	H2AX_MOUSE	Histone H2A.x OS=Mus musculus GN=H2afx PE=1 SV=2 - [H2AX_MOUSE]	4	6	11	21	0.018	0.0	0.004	0.0	0.005	0.024	0.073	0.368	0.199	0.309	0.028	0.005	0.006	0.004	0.014	0.028	0.138	0.158	0.52	0.099	unknown	Phenotype 1	Nucleus - Chromatin	Nucleus - Chromatin	Nucleus - Chromatin	1.0	Nucleus - Chromatin	Nucleus - Chromatin	N										P27661	1	1.0		156.318594895	143	True	False	False	False
P83882	RL36A_MOUSE	60S ribosomal protein L36a OS=Mus musculus GN=Rpl36a PE=3 SV=2 - [RL36A_MOUSE]	4	4	11	10	0.177	0.027	0.041	0.026	0.071	0.12	0.133	0.114	0.074	0.218	0.118	0.046	0.057	0.048	0.075	0.114	0.106	0.062	0.069	0.304	60S Ribosome	60S Ribosome	60S Ribosome	60S Ribosome	60S Ribosome	1.0	60S Ribosome	60S Ribosome	N										P83882	1	1.0		9.027743512	106	True	False	False	False
P83882	RL36A_MOUSE	60S ribosomal protein L36a OS=Mus musculus GN=Rpl36a PE=3 SV=2 - [RL36A_MOUSE]	4	4	11	10	0.177	0.027	0.041	0.026	0.071	0.12	0.133	0.114	0.074	0.218	0.118	0.046	0.057	0.048	0.075	0.114	0.106	0.062	0.069	0.304	60S Ribosome	60S Ribosome	60S Ribosome	60S Ribosome	60S Ribosome	1.0	60S Ribosome	60S Ribosome	N										P83882	1	1.0		448.2143239	106	True	False	False	False
Q8R2Q8	BST2_MOUSE	Bone marrow stromal antigen 2 OS=Mus musculus GN=Bst2 PE=1 SV=1 - [BST2_MOUSE]	4	4	11	6	0.003	0.182	0.198	0.126	0.2	0.163	0.052	0.037	0.011	0.028	0.0	0.135	0.143	0.209	0.251	0.171	0.055	0.022	0.012	0.002	unknown	Plasma membrane	unknown	unknown	Plasma membrane	0.582	unclassified	unclassified	N										Q8R2Q8	1	1.0		24.0973350145	172	False	False	False	False
Q8R3Q6	CCD58_MOUSE	Coiled-coil domain-containing protein 58 OS=Mus musculus GN=Ccdc58 PE=2 SV=1 - [CCD58_MOUSE]	4	5	11	9	0.045	0.017	0.019	0.013	0.031	0.091	0.301	0.251	0.014	0.217	0.025	0.011	0.014	0.021	0.03	0.108	0.379	0.263	0.03	0.12	unknown	Mitochondrion	unknown	Mitochondrion	Mitochondrion	1.0	Mitochondrion	Mitochondrion	N										Q8R3Q6	3	0.815928997683	0.207856543255	60.9919228282	144	True	True	True	False
Q9CQC7	NDUB4_MOUSE	NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 4 OS=Mus musculus GN=Ndufb4 PE=1 SV=3 - [NDUB4_MOUSE]	4	3	11	6	0.0	0.021	0.007	0.007	0.031	0.063	0.194	0.333	0.071	0.274	0.0	0.011	0.009	0.016	0.03	0.079	0.407	0.218	0.095	0.133	unknown	Mitochondrion	unknown	Mitochondrion	Mitochondrion	1.0	Mitochondrion	Mitochondrion	N				NADH dehydrogenase					High Confidence	Q9CQC7	1	1.0		74.16653868	129	True	False	False	False
Q9CQV1	TIM16_MOUSE	Mitochondrial import inner membrane translocase subunit TIM16 OS=Mus musculus GN=Pam16 PE=2 SV=1 - [TIM16_MOUSE]	4	5	11	8	0.0	0.011	0.018	0.014	0.031	0.088	0.312	0.231	0.069	0.227	0.002	0.01	0.014	0.016	0.026	0.074	0.334	0.333	0.074	0.117	Mitochondrion	Mitochondrion	Mitochondrion	Mitochondrion	Mitochondrion	1.0	Mitochondrion	Mitochondrion	N										Q9CQV1	1	1.0		1.22516757425	125	True	False	False	False
Q9D920	L12R1_MOUSE	Loss of heterozygosity 12 chromosomal region 1 protein homolog OS=Mus musculus GN=Loh12cr1 PE=2 SV=1 - [L12R1_MOUSE]	4	3	11	7	0.007	0.084	0.171	0.165	0.337	0.137	0.037	0.03	0.006	0.027	0.008	0.079	0.116	0.208	0.344	0.144	0.063	0.021	0.005	0.011	unknown	unknown	unknown	unknown	Lysosome	0.815	Lysosome	Lysosome	Y										Q9D920	2	0.738640303667	0.353838932204	7.177504474	195	True	True	True	False
Q9DBZ5	EIF3K_MOUSE	Eukaryotic translation initiation factor 3 subunit K OS=Mus musculus GN=Eif3k PE=1 SV=1 - [EIF3K_MOUSE]	4	7	11	15	0.556	0.096	0.113	0.033	0.034	0.037	0.03	0.02	0.034	0.046	0.443	0.052	0.08	0.051	0.056	0.052	0.037	0.022	0.039	0.168	unknown	unknown	unknown	unknown	Proteasome	0.487	unclassified	unclassified	N				eIF3 complex						Q9DBZ5	1	1.0		295.722438925	218	False	False	False	False
Q9Z1X2	PTSS2_MOUSE	Phosphatidylserine synthase 2 OS=Mus musculus GN=Ptdss2 PE=2 SV=2 - [PTSS2_MOUSE]	4	4	11	6	0.0	0.069	0.064	0.039	0.117	0.227	0.154	0.156	0.034	0.139	0.003	0.076	0.089	0.132	0.182	0.226	0.14	0.088	0.039	0.025	unknown	Endoplasmic reticulum/Golgi apparatus	unknown	unknown	Endoplasmic reticulum/Golgi apparatus	0.954	Endoplasmic reticulum/Golgi apparatus	Endoplasmic reticulum/Golgi apparatus	N										Q9Z1X2	1	1.0		45.153819563	473	True	False	False	False
O35943	FRDA_MOUSE	Frataxin, mitochondrial OS=Mus musculus GN=Fxn PE=1 SV=1 - [FRDA_MOUSE]	4	3	10	7	0.001	0.016	0.016	0.009	0.035	0.089	0.276	0.272	0.013	0.273	0.005	0.013	0.015	0.019	0.03	0.098	0.395	0.261	0.012	0.153	Mitochondrion	Mitochondrion	Mitochondrion	Mitochondrion	Mitochondrion	1.0	Mitochondrion	Mitochondrion	N										O35943	1	1.0		15.1381064555	207	True	False	False	False
O88696	CLPP_MOUSE	Putative ATP-dependent Clp protease proteolytic subunit, mitochondrial OS=Mus musculus GN=Clpp PE=2 SV=1 - [CLPP_MOUSE]	4	9	10	26	0.0	0.011	0.014	0.01	0.031	0.105	0.326	0.253	0.016	0.235	0.0	0.01	0.015	0.02	0.027	0.107	0.34	0.326	0.02	0.135	Mitochondrion	Mitochondrion	Mitochondrion	Mitochondrion	Mitochondrion	1.0	Mitochondrion	Mitochondrion	N										O88696	1	1.0		80.99970867	272	True	False	False	False
P31938	MP2K1_MOUSE	Dual specificity mitogen-activated protein kinase kinase 1 OS=Mus musculus GN=Map2k1 PE=1 SV=2 - [MP2K1_MOUSE]	4	5	10	9	0.28	0.059	0.055	0.051	0.064	0.067	0.085	0.154	0.053	0.131	0.331	0.081	0.101	0.081	0.092	0.065	0.055	0.052	0.059	0.082	unknown	unknown	unknown	unknown	Cytosol	0.144	unclassified	unclassified	N					FGF/MAPK					P31938	1	1.0		54.19902851	393	False	False	False	False
P35762	CD81_MOUSE	CD81 antigen OS=Mus musculus GN=Cd81 PE=1 SV=2 - [CD81_MOUSE]	4	6	10	22	0.0	0.294	0.262	0.133	0.147	0.096	0.048	0.014	0.0	0.007	0.001	0.165	0.155	0.179	0.198	0.173	0.093	0.03	0.003	0.003	unknown	Plasma membrane	unknown	unknown	Plasma membrane	0.825	Plasma membrane	Plasma membrane	N										P35762	1	1.0		79.885211477	236	True	False	False	False
P70349	HINT1_MOUSE	Histidine triad nucleotide-binding protein 1 OS=Mus musculus GN=Hint1 PE=1 SV=3 - [HINT1_MOUSE]	4	2	10	5	0.551	0.127	0.126	0.055	0.064	0.036	0.013	0.012	0.005	0.01	0.527	0.086	0.113	0.072	0.082	0.064	0.024	0.012	0.011	0.009	unknown	Phenotype 5	unknown	unknown	Cytosol	0.865	Cytosol	Cytosol	N										P70349	1	1.0		407.83552231	126	True	False	False	False
Q3V009	TMED1_MOUSE	Transmembrane emp24 domain-containing protein 1 OS=Mus musculus GN=Tmed1 PE=2 SV=1 - [TMED1_MOUSE]	4	4	10	9	0.0	0.053	0.086	0.05	0.177	0.222	0.098	0.169	0.011	0.135	0.003	0.056	0.079	0.129	0.237	0.224	0.157	0.069	0.024	0.022	unknown	Endoplasmic reticulum/Golgi apparatus	unknown	unknown	Endoplasmic reticulum/Golgi apparatus	0.914	Endoplasmic reticulum/Golgi apparatus	Endoplasmic reticulum/Golgi apparatus	N										Q3V009	1	1.0		28.725354705	227	True	False	False	False
Q80SZ7	GBG5_MOUSE	Guanine nucleotide-binding protein G(I)/G(S)/G(O) subunit gamma-5 OS=Mus musculus GN=Gng5 PE=3 SV=2 - [GBG5_MOUSE]	4	3	10	5	0.002	0.245	0.165	0.12	0.2	0.121	0.064	0.039	0.016	0.028	0.009	0.19	0.153	0.155	0.184	0.142	0.095	0.034	0.02	0.018	unknown	Plasma membrane	unknown	unknown	Plasma membrane	0.856	Plasma membrane	Plasma membrane	N										Q80SZ7	1	1.0		16.37767775	68	True	False	False	False
Q91V01	MBOA5_MOUSE	Lysophospholipid acyltransferase 5 OS=Mus musculus GN=Lpcat3 PE=1 SV=1 - [MBOA5_MOUSE]	4	6	10	12	0.0	0.048	0.052	0.049	0.136	0.249	0.138	0.167	0.015	0.146	0.003	0.057	0.087	0.111	0.169	0.254	0.157	0.105	0.031	0.027	unknown	Endoplasmic reticulum/Golgi apparatus	unknown	unknown	Endoplasmic reticulum/Golgi apparatus	0.966	Endoplasmic reticulum/Golgi apparatus	Endoplasmic reticulum/Golgi apparatus	N										Q91V01	1	1.0		20.305798354	487	True	False	False	False
Q9D164-2	FXYD6_MOUSE	Isoform 2 of FXYD domain-containing ion transport regulator 6 OS=Mus musculus GN=Fxyd6 - [FXYD6_MOUSE]	4	4	10	19	0.0	0.308	0.22	0.119	0.121	0.15	0.064	0.01	0.0	0.007	0.0	0.201	0.199	0.162	0.149	0.153	0.104	0.031	0.0	0.0	unknown	unknown	unknown	unknown	Plasma membrane	0.799	unclassified	Plasma membrane	Y										Q9D164	1	1.0		33.2181995535	94	True	False	False	False
Q9D8T7	SLIRP_MOUSE	SRA stem-loop-interacting RNA-binding protein, mitochondrial OS=Mus musculus GN=Slirp PE=1 SV=2 - [SLIRP_MOUSE]	4	3	10	7	0.0	0.018	0.018	0.01	0.03	0.094	0.239	0.277	0.056	0.258	0.002	0.01	0.009	0.018	0.032	0.08	0.367	0.266	0.081	0.135	Mitochondrion	Mitochondrion	Mitochondrion	Mitochondrion	Mitochondrion	1.0	Mitochondrion	Mitochondrion	N										Q9D8T7	1	1.0		151.3090948	112	True	False	False	False
Q9QZI8	SERC1_MOUSE	Serine incorporator 1 OS=Mus musculus GN=Serinc1 PE=1 SV=1 - [SERC1_MOUSE]	4	4	10	8	0.0	0.129	0.174	0.172	0.251	0.133	0.054	0.05	0.002	0.037	0.005	0.067	0.126	0.186	0.239	0.241	0.079	0.042	0.009	0.007	unknown	unknown	unknown	unknown	Lysosome	0.524	unclassified	unclassified	N										Q9QZI8	1	1.0		24.46241443	453	False	False	False	False
P53702	CCHL_MOUSE	Cytochrome c-type heme lyase OS=Mus musculus GN=Hccs PE=2 SV=2 - [CCHL_MOUSE]	4	7	9	12	0.0	0.023	0.017	0.015	0.039	0.087	0.206	0.303	0.039	0.271	0.001	0.012	0.016	0.021	0.033	0.118	0.363	0.255	0.048	0.134	Mitochondrion	Mitochondrion	Mitochondrion	Mitochondrion	Mitochondrion	1.0	Mitochondrion	Mitochondrion	N										P53702	1	1.0		20.146577602	272	True	False	False	False
P62996	TRA2B_MOUSE	Transformer-2 protein homolog beta OS=Mus musculus GN=Tra2b PE=1 SV=1 - [TRA2B_MOUSE]	4	6	9	10	0.259	0.005	0.025	0.007	0.016	0.022	0.035	0.05	0.484	0.098	0.145	0.024	0.023	0.019	0.027	0.033	0.045	0.017	0.462	0.206	unknown	unknown	unknown	unknown	Nucleus - Non-chromatin	0.872	Nucleus - Non-chromatin	Nucleus - Non-chromatin	N										P62996	1	1.0		141.561116368	288	True	False	False	False
P70677	CASP3_MOUSE	Caspase-3 OS=Mus musculus GN=Casp3 PE=1 SV=1 - [CASP3_MOUSE]	4	10	9	11	0.585	0.1	0.11	0.055	0.073	0.034	0.011	0.018	0.0	0.014	0.494	0.095	0.114	0.086	0.089	0.051	0.027	0.015	0.013	0.017	unknown	Phenotype 5	unknown	unknown	Cytosol	0.797	unclassified	Cytosol	N										P70677	1	1.0		37.457760992	277	True	False	False	False
Q5XKN4	JAGN1_MOUSE	Protein jagunal homolog 1 OS=Mus musculus GN=Jagn1 PE=2 SV=2 - [JAGN1_MOUSE]	4	2	9	5	0.007	0.072	0.072	0.041	0.106	0.207	0.164	0.138	0.036	0.159	0.005	0.067	0.092	0.11	0.184	0.227	0.156	0.087	0.046	0.027	unknown	Endoplasmic reticulum/Golgi apparatus	unknown	unknown	Endoplasmic reticulum/Golgi apparatus	0.941	Endoplasmic reticulum/Golgi apparatus	Endoplasmic reticulum/Golgi apparatus	N										Q5XKN4	3	0.518089874525	0.856415145164	44.1157090002	183	True	True	True	False
Q62189	SNRPA_MOUSE	U1 small nuclear ribonucleoprotein A OS=Mus musculus GN=Snrpa PE=2 SV=3 - [SNRPA_MOUSE]	4	4	9	5	0.284	0.017	0.035	0.008	0.017	0.019	0.039	0.042	0.451	0.086	0.219	0.025	0.025	0.013	0.024	0.021	0.034	0.014	0.41	0.214	unknown	unknown	unknown	unknown	Nucleus - Non-chromatin	0.878	Nucleus - Non-chromatin	Nucleus - Non-chromatin	N				Small nuclear ribonucleic particles (snRNP)						Q62189	2	0.608633378998	0.643025234085	56.7847946705	287	True	True	True	False
Q62356	FSTL1_MOUSE	Follistatin-related protein 1 OS=Mus musculus GN=Fstl1 PE=1 SV=2 - [FSTL1_MOUSE]	4	5	9	6	0.03	0.072	0.132	0.074	0.154	0.246	0.131	0.092	0.003	0.068	0.019	0.051	0.104	0.136	0.228	0.215	0.168	0.058	0.007	0.014	unknown	unknown	unknown	unknown	Extracellular matrix	0.426	unclassified	unclassified	N										Q62356	1	1.0		13.1653140768	306	False	False	False	False
Q8R3H7	HS2ST_MOUSE	Heparan sulfate 2-O-sulfotransferase 1 OS=Mus musculus GN=Hs2st1 PE=1 SV=2 - [HS2ST_MOUSE]	4	5	9	7	0.0	0.066	0.063	0.063	0.134	0.267	0.111	0.143	0.031	0.123	0.006	0.031	0.077	0.145	0.177	0.275	0.129	0.093	0.042	0.024	unknown	Endoplasmic reticulum/Golgi apparatus	unknown	unknown	Endoplasmic reticulum/Golgi apparatus	0.945	Endoplasmic reticulum/Golgi apparatus	Endoplasmic reticulum/Golgi apparatus	N										Q8R3H7	1	1.0		15.16947541	356	True	False	False	False
Q8VE10	NAA40_MOUSE	N-alpha-acetyltransferase 40 OS=Mus musculus GN=Naa40 PE=2 SV=1 - [NAA40_MOUSE]	4	5	9	9	0.041	0.032	0.02	0.012	0.023	0.047	0.13	0.247	0.221	0.226	0.053	0.043	0.052	0.053	0.046	0.068	0.088	0.172	0.338	0.087	unknown	unknown	unknown	unknown	Nucleus - Chromatin	0.775	unclassified	Nucleus - Chromatin	Y										Q8VE10	1	1.0		23.1860427965	237	True	False	False	False
Q9CQ88	TSN31_MOUSE	Tetraspanin-31 OS=Mus musculus GN=Tspan31 PE=1 SV=1 - [TSN31_MOUSE]	4	2	9	6	0.0	0.054	0.117	0.114	0.398	0.154	0.063	0.048	0.002	0.05	0.0	0.053	0.098	0.182	0.315	0.242	0.074	0.029	0.003	0.005	unknown	Phenotype 3	unknown	unknown	Endosome	0.527	Endosome	Endosome	Y										Q9CQ88	1	1.0		42.862214734	210	True	False	False	False
Q9CWU2	ZDH13_MOUSE	Palmitoyltransferase ZDHHC13 OS=Mus musculus GN=Zdhhc13 PE=1 SV=2 - [ZDH13_MOUSE]	4	6	9	9	0.0	0.042	0.097	0.042	0.182	0.204	0.095	0.185	0.034	0.118	0.027	0.053	0.084	0.124	0.163	0.241	0.145	0.087	0.045	0.032	unknown	unknown	unknown	unknown	Endoplasmic reticulum/Golgi apparatus	0.879	unclassified	Endoplasmic reticulum/Golgi apparatus	N									Putative	Q9CWU2	1	1.0		20.4187396605	622	True	False	False	False
Q9CY66-3	GAR1_MOUSE	Isoform 3 of H/ACA ribonucleoprotein complex subunit 1 OS=Mus musculus GN=Gar1 - [GAR1_MOUSE]	4	3	9	3	0.261	0.015	0.029	0.008	0.015	0.023	0.031	0.056	0.496	0.066	0.175	0.023	0.039	0.031	0.042	0.04	0.042	0.02	0.426	0.163	unknown	Phenotype 2	Nucleus - Non-chromatin	Nucleus - Non-chromatin	Nucleus - Non-chromatin	1.0	Nucleus - Non-chromatin	Nucleus - Non-chromatin	N										Q9CY66	1	1.0		56.520972177	231	True	False	False	False
Q9ESY9	GILT_MOUSE	Gamma-interferon-inducible lysosomal thiol reductase OS=Mus musculus GN=Ifi30 PE=1 SV=3 - [GILT_MOUSE]	4	5	9	7	0.0	0.126	0.183	0.15	0.266	0.144	0.048	0.039	0.0	0.045	0.003	0.063	0.156	0.234	0.259	0.203	0.048	0.027	0.002	0.004	unknown	unknown	unknown	unknown	Lysosome	0.76	Lysosome	Lysosome	N										Q9ESY9	1	1.0		21.3782773185	248	True	False	False	False
Q9WV98	TIM9_MOUSE	Mitochondrial import inner membrane translocase subunit Tim9 OS=Mus musculus GN=Timm9 PE=1 SV=1 - [TIM9_MOUSE]	4	3	9	6	0.007	0.01	0.012	0.013	0.034	0.085	0.215	0.305	0.067	0.251	0.01	0.015	0.015	0.019	0.037	0.122	0.356	0.242	0.07	0.113	Mitochondrion	Mitochondrion	Mitochondrion	Mitochondrion	Mitochondrion	1.0	Mitochondrion	Mitochondrion	N										Q9WV98	3	0.540488110617	0.651519012679	13.4517634888	89	True	True	True	False
O35326	SRSF5_MOUSE	Serine/arginine-rich splicing factor 5 OS=Mus musculus GN=Srsf5 PE=1 SV=2 - [SRSF5_MOUSE]	4	3	8	11	0.53	0.011	0.043	0.007	0.023	0.02	0.027	0.044	0.211	0.084	0.362	0.025	0.06	0.027	0.033	0.04	0.04	0.025	0.217	0.171	unknown	unknown	unknown	unknown	Nucleus - Non-chromatin	0.376	unclassified	unclassified	N										O35326	3	0.699852625457	0.348349884384	96.8724205875	269	False	True	True	False
O55102	BL1S1_MOUSE	Biogenesis of lysosome-related organelles complex 1 subunit 1 OS=Mus musculus GN=Bloc1s1 PE=1 SV=2 - [BL1S1_MOUSE]	4	3	8	3	0.018	0.098	0.23	0.167	0.232	0.127	0.037	0.045	0.012	0.034	0.017	0.061	0.137	0.247	0.233	0.172	0.061	0.031	0.015	0.025	unknown	unknown	unknown	unknown	Lysosome	0.615	unclassified	unclassified	N				BLOC-1 complex						O55102	1	1.0		38.026794306	125	False	False	False	False
P10922	H10_MOUSE	Histone H1.0 OS=Mus musculus GN=H1f0 PE=2 SV=4 - [H10_MOUSE]	4	4	8	6	0.018	0.002	0.003	0.001	0.007	0.028	0.129	0.269	0.264	0.277	0.036	0.004	0.013	0.009	0.012	0.04	0.107	0.173	0.521	0.086	unknown	Phenotype 1	Nucleus - Chromatin	Nucleus - Chromatin	Nucleus - Chromatin	1.0	Nucleus - Chromatin	Nucleus - Chromatin	N										P10922	1	1.0		15.743006252	194	True	False	False	False
P45878	FKBP2_MOUSE	Peptidyl-prolyl cis-trans isomerase FKBP2 OS=Mus musculus GN=Fkbp2 PE=1 SV=1 - [FKBP2_MOUSE]	4	4	8	8	0.016	0.085	0.079	0.06	0.175	0.193	0.101	0.146	0.015	0.129	0.017	0.058	0.084	0.135	0.184	0.253	0.16	0.068	0.018	0.023	Endoplasmic reticulum/Golgi apparatus	Endoplasmic reticulum/Golgi apparatus	Endoplasmic reticulum/Golgi apparatus	Endoplasmic reticulum/Golgi apparatus	Endoplasmic reticulum/Golgi apparatus	1.0	Endoplasmic reticulum/Golgi apparatus	Endoplasmic reticulum/Golgi apparatus	N										P45878	2	0.618371890002	0.617149835185	17.9923838597	140	True	True	True	False
P50543	S10AB_MOUSE	Protein S100-A11 OS=Mus musculus GN=S100a11 PE=2 SV=1 - [S10AB_MOUSE]	4	3	8	5	0.535	0.118	0.132	0.061	0.058	0.051	0.019	0.012	0.004	0.01	0.507	0.085	0.122	0.076	0.09	0.057	0.03	0.01	0.013	0.01	unknown	Phenotype 5	unknown	unknown	Cytosol	0.881	Cytosol	Cytosol	N										P50543	1	1.0		12.945174045	98	True	False	False	False
P59017	B2L13_MOUSE	Bcl-2-like protein 13 OS=Mus musculus GN=Bcl2l13 PE=1 SV=2 - [B2L13_MOUSE]	4	5	8	12	0.019	0.028	0.025	0.018	0.05	0.132	0.296	0.205	0.02	0.206	0.017	0.022	0.029	0.03	0.053	0.103	0.352	0.248	0.039	0.109	Mitochondrion	Mitochondrion	Mitochondrion	Mitochondrion	Mitochondrion	1.0	Mitochondrion	Mitochondrion	N										P59017	1	1.0		16.433068168	434	True	False	False	False
P59708	PM14_MOUSE	Pre-mRNA branch site protein p14 OS=Mus musculus GN=Sf3b14 PE=2 SV=1 - [PM14_MOUSE]	4	3	8	8	0.241	0.013	0.033	0.004	0.018	0.02	0.026	0.073	0.352	0.221	0.143	0.013	0.023	0.018	0.017	0.026	0.033	0.032	0.303	0.393	unknown	unknown	unknown	unknown	Nucleus - Non-chromatin	0.877	Nucleus - Non-chromatin	Nucleus - Non-chromatin	Y				Spliceosome						P59708	1	1.0		95.407853586	125	True	False	False	False
P62852	RS25_MOUSE	40S ribosomal protein S25 OS=Mus musculus GN=Rps25 PE=2 SV=1 - [RS25_MOUSE]	4	4	8	6	0.371	0.044	0.046	0.021	0.048	0.065	0.055	0.083	0.063	0.204	0.224	0.043	0.059	0.052	0.053	0.078	0.062	0.034	0.057	0.339	40S Ribosome	40S Ribosome	40S Ribosome	40S Ribosome	40S Ribosome	1.0	40S Ribosome	40S Ribosome	N										P62852	1	1.0		111.29406867	125	True	False	False	False
Q60749	KHDR1_MOUSE	KH domain-containing, RNA-binding, signal transduction-associated protein 1 OS=Mus musculus GN=Khdrbs1 PE=1 SV=2 - [KHDR1_MOUSE]	4	6	8	10	0.133	0.009	0.017	0.007	0.016	0.026	0.06	0.116	0.473	0.144	0.111	0.013	0.019	0.019	0.022	0.037	0.046	0.038	0.465	0.231	unknown	Phenotype 2	unknown	unknown	Nucleus - Non-chromatin	0.885	Nucleus - Non-chromatin	Nucleus - Non-chromatin	N										Q60749	2	0.980680467282	0.0197001300248	30.7703473433	443	True	False	False	False
Q8BL97-3	SRSF7_MOUSE	Isoform 3 of Serine/arginine-rich splicing factor 7 OS=Mus musculus GN=Srsf7 - [SRSF7_MOUSE]	4	4	8	9	0.268	0.017	0.029	0.014	0.029	0.039	0.04	0.063	0.39	0.111	0.235	0.024	0.026	0.013	0.027	0.034	0.057	0.023	0.397	0.163	unknown	unknown	unknown	unknown	Nucleus - Non-chromatin	0.863	Nucleus - Non-chromatin	Nucleus - Non-chromatin	N										Q8BL97	5	0.412439938165	0.548394645713	144.209171954	267	True	True	True	False
